才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
吽形,https://dabimas.jp/kouryaku/abilities/5412364785.html,・ゴールまで300m以内で 短い時間、スタミナが増える,・馬場状態が良、稍重 ・1800～2200m ・騎乗指示：差し、追込,・自分,50%〜100%
雲心月成,https://dabimas.jp/kouryaku/abilities/7465243175.html,・ゴールまで400m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・天候が晴 ・馬場状態が良、稍重 ・1800～2500m ・中山競馬場、京都競馬場、 中京競馬場,・自分,100%
永遠無窮,https://dabimas.jp/kouryaku/abilities/1364724356.html,・効果1（条件1を満たすと発揮） 常時、気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 2000～3200m 東京競馬場、新潟競馬場、 京都競馬場、中京競馬場 コンディションが好調以上 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
栄冠,https://dabimas.jp/kouryaku/abilities/3264175342.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・天候が晴、曇 ・馬場状態が良、稍重 ・コンディションが好調以上,・自分,100%
英姿颯爽,https://dabimas.jp/kouryaku/abilities/6315458266.html,・鞭を入れた時に、 やや長い時間、脚が速くなる,・騎手が浜中騎手,・自分,100%
英姿颯爽,https://dabimas.jp/kouryaku/abilities/8165243195.html,・鞭を入れた時に、 やや長い時間、脚が速くなる,・騎手が浜中騎手,・自分,100%
英俊豪傑,https://dabimas.jp/kouryaku/abilities/4217607553.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 天候が晴 1600、2400m 東京競馬場、京都競馬場、 シャティン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
栄達,https://dabimas.jp/kouryaku/abilities/5712364782.html,・常時、脚が速くなる,・ＮＨＫマイルカップ,・自分,100%
笑顔の祝祭,https://dabimas.jp/kouryaku/abilities/5612364972.html,・常時、脚が少し速くなり、 根性がつく,・天候が晴 ・馬場状態が良 ・東京競馬場、京都競馬場、 大井競馬場,・自分,40%〜100%
笑顔満開,https://dabimas.jp/kouryaku/abilities/4985476231.html,・スタートから100m以降で 短い時間、脚が少し速くなり、 スタミナが少し増える,・馬場状態が良以外 ・中山競馬場、京都競馬場、 メイダン競馬場、大井競馬場 ・コンディションが好調以上,・自分,70%〜100%
Exodus,https://dabimas.jp/kouryaku/abilities/3126840450.html,・最後の直線で、短い時間、 脚が少し速くなり、その後 短い時間、脚が速くなる,・中山競馬場、阪神競馬場、 京都競馬場 ・芝レース ・コンディションが好調以上,・自分,100%
エスポワール‥！,https://dabimas.jp/kouryaku/abilities/6352124180.html,・常時、脚が速くなる,・馬場状態が不良 ・芝レース,・自分,100%
永遠物語♪,https://dabimas.jp/kouryaku/abilities/5812364376.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで325m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴、曇 2500～3200m 中山競馬場、京都競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
エレベーター,https://dabimas.jp/kouryaku/abilities/7614639201.html,・効果1（条件1を満たすと発揮） 常時、根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～2000m 中山競馬場、東京競馬場、 シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
縁起祝慶♪,https://dabimas.jp/kouryaku/abilities/9010643245.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで500m以内で、 やや長い時間、脚が少し速くなり、 競り合いで疲れづらくなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 2000～2400m 東京競馬場、大井競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
行楽到来♪,https://dabimas.jp/kouryaku/abilities/4217638513.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで180m以内で、 短い時間、脚が速くなる ・効果3（効果2終了時） 短い時間、脚が非常に速くなる,・条件1 2000～2500m 中山競馬場、ロンシャン競馬場 ・条件2 騎乗指示：逃げ 先頭との距離が0.75馬身以上離れている,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
艶舞,https://dabimas.jp/kouryaku/abilities/5912364276.html,・ゴールまで350m以内で、 やや長い時間、脚が少し速くなる,・天候が晴、雨 ・1200～2200m ・中山競馬場、阪神競馬場、 中京競馬場 ・騎乗指示：差し,・自分,50%〜80%
Ace,https://dabimas.jp/kouryaku/abilities/2405362701.html,・効果1 常時、脚が少し速くなり、 根性がつく ・効果2 最終コーナーで、 やや長い時間、脚が少し速くなる,・2000～2400m ・東京競馬場、小倉競馬場、 福島競馬場、函館競馬場、 札幌競馬場 ・芝レース,・効果1 自分 ・効果2 自分,100%
Ace,https://dabimas.jp/kouryaku/abilities/4614637206.html,・効果1 常時、脚が少し速くなり、 根性がつく ・効果2 最終コーナーで、 やや長い時間、脚が少し速くなる,・2000～2400m ・東京競馬場、小倉競馬場、 福島競馬場、函館競馬場、 札幌競馬場 ・芝レース,・効果1 自分 ・効果2 自分,100%
追討,https://dabimas.jp/kouryaku/abilities/5712364584.html,・最後の直線で、やや長い時間、 対象を競り合いで疲れやすくする,・騎乗指示：マーク,・マークしている相手競走馬,100%
追風エバー♪,https://dabimas.jp/kouryaku/abilities/5214757368.html,・ゴールまで300m以内で、 とても長い時間、脚が少し速くなり、 スタミナが少し増える,・2000、2400、3000m ・芝レース,・自分,60%
お祝いだよ★,https://dabimas.jp/kouryaku/abilities/3452731576.html,・ゴールまで200m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・天候が晴 ・2000、2500、3000m ・中山競馬場、京都競馬場,・自分,100%
桜華樫爛,https://dabimas.jp/kouryaku/abilities/0614531298.html,・最後の直線で、 短い時間、脚が少し速くなり、 その後、短い時間、 更に脚が速くなる,・桜花賞、オークス、 秋華賞 ・騎乗指示：先行,・自分,60%〜100%
桜花祭,https://dabimas.jp/kouryaku/abilities/0614534277.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～2000m 中山競馬場、東京競馬場、 阪神競馬場、中京競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
王冠,https://dabimas.jp/kouryaku/abilities/7162546835.html,・常時、脚が速くなる,・毎日王冠,・自分,100%
王侯将相,https://dabimas.jp/kouryaku/abilities/7264195300.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで350m以内で、 長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 馬場状態が良、重 2000m 東京競馬場、シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
王手,https://dabimas.jp/kouryaku/abilities/6154123616.html,・ゴールまで300m以内で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・2000～2400m ・中山競馬場、東京競馬場、 阪神競馬場、京都競馬場,・自分,100%
桜梅桃李,https://dabimas.jp/kouryaku/abilities/2192546738.html,・効果1 常時、スタミナが少し増える ・効果2 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・2000～3200m ・中山競馬場、京都競馬場,・効果1 自分 ・効果2 自分,100%
逢魔ヶ刻,https://dabimas.jp/kouryaku/abilities/8265243158.html,・ゴールまで220m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・1200～1800m ・中山競馬場、阪神競馬場、 新潟競馬場、札幌競馬場、 メイダン競馬場、シャティン競馬場 ・芝レース ・コンディションが絶好調 ・騎乗指示：差し、追込,・自分,80%〜100%
大一番,https://dabimas.jp/kouryaku/abilities/4218656503.html,・常時、気性が穏やかになる,・GI/JpnIレース,・自分,100%
乙馬坂,https://dabimas.jp/kouryaku/abilities/9315478261.html,・ゴールまで350m以内で、 やや長い時間、 脚が少し速くなり、 競り合いで疲れづらくなる,・桜花賞、オークス、 秋華賞、ヴィクトリアマイル、 エリザベス女王杯、 阪神ジュベナイルフィリーズ ・5番人気以上の時,・自分,70%〜100%
乙女ノ微笑,https://dabimas.jp/kouryaku/abilities/6214858365.html,・常時、脚が少し速くなり、 根性がつく,・天候が晴、曇 ・馬場状態が良、稍重 ・芝レース,・自分,60%〜100%
Obelisk,https://dabimas.jp/kouryaku/abilities/6538431462.html,・効果1 常時、脚が非常に速くなり スタミナが非常に増える ・効果2 最後の直線で、 ゴールまで対象の脚を遅くする,・オベリスク牧場記念,・効果1 自分 ・効果2 自分以外の相手へ,100%
朧月夜,https://dabimas.jp/kouryaku/abilities/5712364494.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・2200、2500、3200m ・中山競馬場、阪神競馬場、 京都競馬場 ・騎乗指示：差し,・自分,100%
お神輿♪,https://dabimas.jp/kouryaku/abilities/2761140593.html,・最後の直線で、 やや長い時間、脚が少し速くなる,・天候が晴 ・馬場状態が良 ・1600、1800m ・京都競馬場、中京競馬場、 メイダン競馬場,・自分,100%
思惑,https://dabimas.jp/kouryaku/abilities/2860145543.html,・スタートから200m以降で、やや長い時間 脚が少し速くなる,・騎乗指示：先行 ・1番手にいる時,・自分,100%
恩賞,https://dabimas.jp/kouryaku/abilities/4218683503.html,・BCで獲得できるGPが増える,・BCのみ,・自分,100%
怪気炎,https://dabimas.jp/kouryaku/abilities/6537831432.html,・ゴールまで200m以内で、 やや長い時間、脚が速くなる,・天候が晴、曇 ・1600～2000m,・自分,100%
回山倒海,https://dabimas.jp/kouryaku/abilities/5409165213.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 1700～2200m 阪神競馬場、福島競馬場、 京都競馬場、札幌競馬場 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
Kaiser,https://dabimas.jp/kouryaku/abilities/1734822356.html,・ゴールまで350m以内で、 やや長い時間、脚が速くなる,・馬場状態が良、稍重 ・阪神競馬場 ・騎乗指示：先行,・自分,70%〜100%
廻天,https://dabimas.jp/kouryaku/abilities/1434825356.html,・常時、脚が少し速くなり、 スタミナが増える,・2000、2400、3000m ・中山競馬場、東京競馬場、 京都競馬場,・自分,50%〜100%
快刀乱麻,https://dabimas.jp/kouryaku/abilities/2651439857.html,・効果1（条件1を満たすと発揮） 常時、根性がつき、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 1600～2200m 東京競馬場、阪神競馬場、 メイダン競馬場、シャティン競馬場 芝レース ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
